cilindro,medidacorte,cortepassanteace,cortepassante,medidardacedb,medidaCRDacedb,infoRebaixoComp,infoRebaixoDiam,medidaRD,medidaCRD,medidaRT,medidartaced,medidaRTpassante,medidaRD_MI,medidaCRDMI,medidaRT_MI,imghasteaced,imagemdahaste,medidarebaixo,medidacomprimento,rebaixobocadechave,diamrebbocadechave,rebaixotraseira,rebaixooring,distanciaoring,diametrohaste,imgpassante,materiaprima,embolo,medidaRD_CCB,medidaRT_CCB,medidacortetubo,cortetuboccmbpassante,rosca,imagemdotubo,materiaprimatubo,diametroguia,materiaprimaguia,medidaguia,roscaguia,imagemguia,diametrotirante,materiaprimatirante,medidatirante,roscatirante,roscatiranteb,imagemtirante,rebaixoDianteiraCCMB,rebaixoTraseiraCCMB,furacao,imgAlimentacao,c,diametroc,a,diametroae,b,ctraseira,diametroctraseira,atraseira,diametroaetraseira,btraseira,roscaalimentacao,comprimentoalimentacao,diametrorebaixo,comprimentorebaixo,diamx,compx,diamz,distz,compz
CCN20M-A,50mm,,,,,,,"M8x1,25 X ",16mm,M6x1 X 10mm,,,,,,,img/ccn-macho.png,"0,5mm","4,5mm",5mm,"9,7mm",,,,Ø10,,HASTE-10,,,,13mm,,M8x1 X 16mm,imgTubo/ccn.png,CCNTUBO-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN25M-A,"51,5mm",,,,,,,"M8x1,25 X ",16mm,M6x1 X 11mm,,,,,,,img/ccn-macho.png,"0,5mm","4,5mm",5mm,"9,7mm",,,,Ø10,,HASTE-10,,,,15mm,,M8x1 X 16mm,imgTubo/ccn.png,CCNTUBO-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN32M-A,"57,5mm",,,,,,,"M10x1,25 X ",19mm,"M8x1,25 X 12mm",,,,,,,img/ccn-macho.png,1mm,"4,5mm",5mm,"11,5mm",,,,Ø12,,HASTE-12,,,,14mm,,M10x1 X 20mm,imgTubo/ccn.png,CCNTUBO-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN40M-A,"58,5mm",,,,,,,"M10x1,25 X ",19mm,"M8x1,25 X 12,5mm",,,,,,,img/ccn-macho.png,1mm,5mm,"5,5mm","11,5mm",,,,Ø12,,HASTE-12,,,,15mm,,M10x1 X 20mm,imgTubo/ccn.png,CCNTUBO-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN50M-A,"64,5mm",,,,,,,"M12x1,25 X ",22mm,"M10x1,25 X 12,5mm",,,,,,,img/ccn-macho.png,"1,5mm",7mm,8mm,"15,5mm",,,,Ø16,,HASTE-16,,,,16mm,,M12x1 X 24mm,imgTubo/ccn.png,CCNTUBO-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN63M-A,"67,5mm",,,,,,,"M12x1,25 X ",22mm,"M10x1,25 X 15mm",,,,,,,img/ccn-macho.png,"1,5mm",7mm,8mm,"15,5mm",,,,Ø16,,HASTE-16,,,,19mm,,M12x1 X 24mm,imgTubo/ccn.png,CCNTUBO-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN80M-A,78mm,,,,,,,"M16x1,5 X ",28mm,"M16x1,5 X 17mm",,,,,,,img/ccn-macho.png,"1,5mm",7mm,8mm,19mm,,,,Ø20,,HASTE-20,,,,"22,5mm",,"M8x1,25 X 16mm",imgTubo/ccn.png,CCNTUBO-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN100M-A,83mm,,,,,,,"M16x1,5 X ",28mm,"M16x1,5 X 17,5mm",,,,,,,img/ccn-macho.png,"1,5mm",7mm,8mm,19mm,,,,Ø20,,HASTE-20,,,,26mm,,"M8x1,25 X 16mm",imgTubo/ccn.png,CCNTUBO-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN125M-A,"108,5mm",,,,,,,"M20X1,5 X ",40mm,"M20x1,5 X 20mm",,,,,,,img/ccn-macho.png,2mm,9mm,10mm,24mm,,,,Ø25,,HASTE-25,,,,41mm,,"M10x1,5 X 20mm",imgTubo/ccn.png,CCNTUBO-125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN12M-R,42mm,,,,,,,"M5x0,8 X ",10mm,"M4x0,7 X 14mm ",,,,,,,img/ccn-macho.png,"0,5mm",3mm,"3,5mm","5,7mm",,,,Ø6,,HASTE-06,,,,15mm,,M6x1 X 12mm,imgTubo/ccn.png,CCNTUBO-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN16M-R,43mm,,,,,,,"M6x1,00 X ",12mm,"M5x0,8 X 9mm",,,,,,,img/ccn-macho.png,"0,5mm","4,5mm",5mm,"7,7mm",,,,Ø8,,HASTE-08,,,,12mm,,M6x1 X 12mm,imgTubo/ccn.png,CCNTUBO-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN20M-R,50mm,,,,,,,"M8x1,25 X ",16mm,M6x1 X 10mm,,,,,,,img/ccn-macho.png,"0,5mm","4,5mm",5mm,"9,7mm",,,,Ø10,,HASTE-10,,,,13mm,,M8x1 X 16mm,imgTubo/ccn.png,CCNTUBO-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN25M-R,"51,5mm",,,,,,,"M8x1,25 X ",16mm,M6x1 X 11mm,,,,,,,img/ccn-macho.png,"0,5mm","4,5mm",5mm,"9,7mm",,,,Ø10,,HASTE-10,,,,15mm,,M8x1 X 16mm,imgTubo/ccn.png,CCNTUBO-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN32M-R,"57,5mm",,,,,,,"M10x1,25 X ",19mm,"M8x1,25 X 12mm",,,,,,,img/ccn-macho.png,1mm,"4,5mm",5mm,"11,5mm",,,,Ø12,,HASTE-12,,,,14mm,,M10x1 X 20mm,imgTubo/ccn.png,CCNTUBO-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN40M-R,"58,5mm",,,,,,,"M10x1,25 X ",19mm,"M8x1,25 X 12,5mm",,,,,,,img/ccn-macho.png,1mm,5mm,"5,5mm","11,5mm",,,,Ø12,,HASTE-12,,,,15mm,,M10x1 X 20mm,imgTubo/ccn.png,CCNTUBO-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN50M-R,"64,5mm",,,,,,,"M12x1,25 X ",22mm,"M10x1,25 X 12,5mm",,,,,,,img/ccn-macho.png,"1,5mm",7mm,8mm,"15,5mm",,,,Ø16,,HASTE-16,,,,16mm,,M12x1 X 24mm,imgTubo/ccn.png,CCNTUBO-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN63M-R,"67,5mm",,,,,,,"M12x1,25 X ",22mm,"M10x1,25 X 15mm",,,,,,,img/ccn-macho.png,"1,5mm",7mm,8mm,"15,5mm",,,,Ø16,,HASTE-16,,,,19mm,,M12x1 X 24mm,imgTubo/ccn.png,CCNTUBO-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN80M-R,78mm,,,,,,,"M16x1,5 X ",28mm,"M16x1,5 X 17mm",,,,,,,img/ccn-macho.png,"1,5mm",7mm,8mm,19mm,,,,Ø20,,HASTE-20,,,,"22,5mm",,"M8x1,25 X 16mm",imgTubo/ccn.png,CCNTUBO-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN100M-R,83mm,,,,,,,"M16x1,5 X ",28mm,"M16x1,5 X 17,5mm",,,,,,,img/ccn-macho.png,"1,5mm",7mm,8mm,19mm,,,,Ø20,,HASTE-20,,,,26mm,,"M8x1,25 X 16mm",imgTubo/ccn.png,CCNTUBO-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN125M-R,"108,5mm",,,,,,,"M20X1,5 X ",40mm,"M20x1,5 X 20mm",,,,,,,img/ccn-macho.png,2mm,9mm,10mm,24mm,,,,Ø25,,HASTE-25,,,,41mm,,"M10x1,5 X 20mm",imgTubo/ccn.png,CCNTUBO-125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNG12,32mm,,,,,,,"M3x0,5 X ",8mm,"M4x0,7 X 14mm",,,,,,,img/ccng.png,"0,5mm",3mm,"3,5mm","5,7mm",,,,Ø6,,HASTE-06,,,,15mm,,M6x1 X 12mm,imgTubo/ccn.png,CCNTUBO-12,Ø5,HASTE-05,"9,5mm","M3x0,5 X 8mm",imgGuia/ccng.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNG16,31mm,,,,,,,"M4x0,7 X     ",10mm,"M5x0,8 X 9mm",,,,,,,img/ccng.png,"0,5mm","4,5mm",5mm,"7,7mm",,,,Ø8,,HASTE-08,,,,12mm,,M6x1 X 12mm,imgTubo/ccn.png,CCNTUBO-16,Ø5,HASTE-05,10mm,"M4x0,7 X 8mm",imgGuia/ccng.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNG20,34mm,,,,,,,"M6x1,00 X ",12mm,"M6x1,00 X 10mm",,,,,,,img/ccng.png,"0,5mm","4,5mm",5mm,"9,7mm",,,,Ø10,,HASTE-10,,,,13mm,,M8x1 X 16mm,imgTubo/ccn.png,CCNTUBO-20,Ø6,HASTE-06,"11,5mm","M4x0,7 X 8mm",imgGuia/ccng.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNG25,"33,5mm",,,,,,,"M6x1,00 X ",12mm,"M6x1,00 X 11mm",,,,,,,img/ccng.png,"0,5mm","4,5mm",5mm,"9,7mm",,,,Ø10,,HASTE-10,,,,15mm,,M8x1 X 16mm,imgTubo/ccn.png,CCNTUBO-25,Ø6,HASTE-06,"11,5mm","M4x0,7 X 8mm",imgGuia/ccng.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNG32,"38,5mm",,,,,,,"M8x1,25 X ",16mm,"M8x1,25 X 12mm",,,,,,,img/ccng.png,1mm,"4,5mm",5mm,"11,5mm",,,,Ø12,,HASTE-12,,,,14mm,,M10x1 X 20mm,imgTubo/ccn.png,1L2A0070Y,Ø8,HASTE-08,"13,5mm","M5x0,8 X 10mm",imgGuia/ccng.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNG40,"37,5mm",,,,,,,"M8x1,25 X ",16mm,"M8x1,25 X 12,5mm",,,,,,,img/ccng.png,1mm,5mm,"5,5mm","11,5mm",,,,Ø12,,HASTE-12,,,,15mm,,M10x1 X 20mm,imgTubo/ccn.png,CCNTUBO-40,Ø8,HASTE-08,"13,5mm","M5x0,8 X 10mm",imgGuia/ccng.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNG50,"42,5mm",,,,,,,"M10x1,5 X    ",20mm,"M10x1,25 X 12,5mm",,,,,,,img/ccng.png,"1,5mm",7mm,8mm,"15,5mm",,,,Ø16,,HASTE-16,,,,16mm,,M12x1 X 24mm,imgTubo/ccn.png,CCNTUBO-50,Ø10,HASTE-10,15mm,M6x1 X 12mm,imgGuia/ccng.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNG63,"45,5mm",,,,,,,"M10x1,5 X ",20mm,"M10x1,25 X 15mm",,,,,,,img/ccng.png,"1,5mm",7mm,8mm,"15,5mm",,,,Ø16,,HASTE-16,,,,19mm,,M12x1 X 24mm,imgTubo/ccn.png,CCNTUBO-63,Ø10,HASTE-10,15mm,M6x1 X 12mm,imgGuia/ccng.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNG80,50mm,,,,,,,"M12x1,75 X   ",24mm,"M16x1,5 X 17mm",,,,,,,img/ccng.png,"1,5mm",7mm,8mm,19mm,,,,Ø20,,HASTE-20,,,,"22,5mm",,"M8x1,25 X 16mm",imgTubo/ccn.png,CCNTUBO-80,Ø12,HASTE-12,"25,5mm","M8x1,25 X 16mm",imgGuia/ccng.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNG100,55mm,,,,,,,"M12x1,75 X ",24mm,"M16x1,5 X 17,5mm",,,,,,,img/ccng.png,"1,5mm",7mm,8mm,19mm,,,,Ø20,,HASTE-20,,,,25mm,,"M8x1,25 X 16mm",imgTubo/ccn.png,CCNTUBO-100,Ø12,HASTE-12,"30,5mm","M8x1,25 X 16mm",imgGuia/ccng.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDVU12-F,33mm,"20,5mm",51mm,M3 X ,8mm,,,"M3x0,5 X ",8mm F,"M5x0,8 X 11mm","M4x0,7 X 8mm","M4x0,7 X 8mm",,,,img/cdvufemeapassante.png,img/cdvufemea1.png,"0,5mm",3mm,,,,,,Ø6,img/cdvufemea1.png,HASTE-06,,,,"12,5mm",,M7x1 X 14mm,imgTubo/cdvu.png,CDVUTUBO-12/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDVU16-F,"32,5mm","20,5mm","37,5mm",M8 X ,20mm,,,"M4x0,7 X ",10mm F,"M5x0,8 X 11,5mm","M4x0,7 X 14mm","M4x0,7 X 14mm",,,,img/cdvufemeapassante.png,img/cdvufemea1.png,"0,5mm","3,5mm",,,,,,Ø8,img/cdvufemea1.png,HASTE-08,,,,"12,5mm",,M7x1 X 14mm,imgTubo/cdvu.png,CDVUTUBO-12/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDVU20-F,35mm,"18,5mm","40,5mm",M5 X ,12mm,,,"M5x0,8 X ",12mm F,"M6x1,00 X 12,5mm",M6x1 X 20mm,M6x1 X 20mm ,,,,img/cdvufemeapassante.png,img/cdvufemea1.png,"0,5mm","3,5mm",,,,,,Ø10,img/cdvufemea1.png,HASTE-10,,,,14mm,,M8x1 X 16mm,imgTubo/cdvu.png,CDVUTUBO-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDVU25-F,36mm,"22,5mm","40,5mm",M5 X ,12mm,,,"M5x0,8 X ",12mm F,"M6x1,00 X 13,5mm",M6x1 X 20mm,M6x1 X 20mm ,,,,img/cdvufemeapassante.png,img/cdvufemea1.png,"0,5mm","4,5mm",,,,,,Ø10,img/cdvufemea1.png,HASTE-10,,,,"14,5mm",,M8x1 X 16mm,imgTubo/cdvu.png,CDVUTUBO-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDVU32-F,38mm,"25,5mm","43,5mm",M6 X ,14mm,,,"M6x1,00 X ",14mm F,"M6x1,00 X 9mm","M6x1,00 X 20,5mm","M6x1,00 X 20,5mm ",,,,img/cdvufemeapassante.png,img/cdvufemea1.png,1mm,5mm,,,,,,Ø12,img/cdvufemea1.png,HASTE-12,,,,15mm,,M10x1 X 20mm,imgTubo/cdvu.png,CDVUTUBO-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDVU40-F,"40,5mm","25,5mm",48mm,M6 X ,14mm,,,"M6x1,00 X ",14mm F,"M8x1,25 X 15mm","M8x1,25 X 25,5mm","M8x1,25 X 25,5mm ",,,,img/cdvufemeapassante.png,img/cdvufemea1.png,1mm,5mm,,,,,,Ø12,img/cdvufemea1.png,HASTE-12,,,,16mm,,M10x1 X 20mm,imgTubo/cdvu.png,CDVUTUBO-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDVU50-F,"42,5mm",27mm,"55,5mm",M8 X ,16mm,,,"M8x1,25 X ",16mm F,"M10x1,25 X 17mm","M10x1,25 X 25mm","M10x1,25 X 20mm ",,,,img/cdvufemeapassante.png,img/cdvufemea1.png,"1,5mm",6mm,,,,,,Ø16,img/cdvufemea1.png,HASTE-16,,,,15mm,,M12x1 X 24mm,imgTubo/cdvu.png,CDVUTUBO-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDVU63-F,"48,5mm",29mm,"51,5mm",M8 X ,16mm,,,"M8x1,25 X ",16mm F,"M10x1,25 X 19mm","M10x1,25 X 27mm","M10x1,25 X 27mm ",,,,img/cdvufemeapassante.png,img/cdvufemea1.png,"1,5mm",6mm,,,,,,Ø16,img/cdvufemea1.png,HASTE-16,,,,21mm,,M16x1 X 32mm,imgTubo/cdvu.png,CDVUTUBO-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDVU80-F,49mm,31mm,61mm,M10 X ,20mm,,,"M10x1,5 X ",20mm F,"M12x1,25 X 18mm","M12x1,25 X 35mm","M12x1,25 X 25mm",,,,img/cdvufemeapassante.png,img/cdvufemea1.png,"1,5mm",6mm,,,,,,Ø20,img/cdvufemea1.png,HASTE-20,,,,24mm,,M16x1 X 32mm,imgTubo/cdvu.png,CDVUTUBO-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDVU100-F,55mm,,,,,,,"M12x1,75 X ",24mm F,"M16x1,5 X 18mm",,,,,,img/cdvufemeapassante.png,img/cdvufemea1.png,"1,5mm",6mm,,,,,,Ø25,img/cdvufemea1.png,HASTE-25,,,,26mm,,M16x1 X 32mm,imgTubo/cdvu.png,CDVUTUBO-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDVU125-F,76mm,,,,,,,M16x2 X ,25mm F,"M20x1,5 X 19mm",,,,,,img/cdvufemeapassante.png,img/cdvufemea1.png,"2,5mm",9mm,,,,,,Ø32,img/cdvufemea1.png,HASTE-32,,,,41mm,,"M10x1,5 X 20mm",imgTubo/cdvu.png,CDVUTUBO-125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDVU12-M,49mm,,,,,,,"M6x1,00 X ",16mm,"M5x0,8 X 11mm",,,,,,,img/cdvumacho1.png,"0,5mm",3mm,,,,,,Ø6,,HASTE-06,,,,"12,5mm",,M7x1 X 14mm,imgTubo/cdvu.png,CDVUTUBO-12/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDVU16-M,"52,5mm",,,,,,,"M8x1,25 X ",20mm,"M5x0,8X 11,5mm",,,,,,,img/cdvumacho1.png,"0,5mm","3,5mm",,,,,,Ø8,,HASTE-08,,,,"12,5mm",,M7x1 X 14mm,imgTubo/cdvu.png,CDVUTUBO-12/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDVU20-M,57mm,,,,,,,"M10x1,25 X ",22mm,"M6x1,00 X 12,5mm",,,,,,,img/cdvumacho1.png,"0,5mm","3,5mm",,,,,,Ø10,,HASTE-10,,,,14mm,,M8x1 X 16mm,imgTubo/cdvu.png,CDVUTUBO-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDVU25-M,58mm,,,,,,,"M10x1,25 X ",22mm,"M6x1,00 X 13,5mm",,,,,,,img/cdvumacho1.png,"0,5mm","4,5mm",,,,,,Ø10,,HASTE-10,,,,"14,5mm",,M8x1 X 16mm,imgTubo/cdvu.png,CDVUTUBO-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDVU32-M,60mm,,,,,,,"M10x1,25 X ",22mm,"M6x1,00 X 9mm",,,,,,,img/cdvumacho1.png,1mm,5mm,"5,5mm","11,7mm",,,,Ø12,,HASTE-12,,,,15mm,,M10x1 X 20mm,imgTubo/cdvu.png,CDVUTUBO-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDVU40-M,62mm,48mm,68mm,"M10x1,25 X ",22mm,,,"M10x1,25 X ",22mm,"M8x1,25 X 15mm","M8x1,25 X 18mm F","M8x1,25 X 18mm M",,,,img/haste-cpctsai1.png,img/cdvumacho1.png,1mm,5mm,"5,5mm","11,7mm",,,,Ø12,img/haste-cpctsaipassante.png,HASTE-12,,,,"16,5mm",,M10x1 X 20mm,imgTubo/cdvu.png,CDVUTUBO-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDVU50-M,"67,5mm",,,,,,,"M12x1,25 X ",24mm,"M10x1,25 X 17mm",,,,,,,img/cdvumacho1.png,"1,5mm",6mm,"6,5mm","15,5mm",,,,Ø16,,HASTE-16,,,,15mm,,M12x1 X 24mm,imgTubo/cdvu.png,CDVUTUBO-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDVU63-M,"72,5mm",,,,,,,"M12x1,25 X ",24mm,"M10x1,25 X 19mm",,,,,,,img/cdvumacho1.png,"1,5mm",6mm,"6,5mm","15,5mm",,,,Ø16,,HASTE-16,,,,21mm,,M16x1 X 32mm,imgTubo/cdvu.png,CDVUTUBO-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDVU80-M,81mm,,,,,,,"M16x1,5 X ",32mm,"M12x1,25 X 18mm",,,,,,,img/cdvumacho1.png,"1,5mm",6mm,"6,5mm","19,5mm",,,,Ø20,,HASTE-20,,,,24mm,,M16x1 X 32mm,imgTubo/cdvu.png,CDVUTUBO-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDVU100-M,95mm,,,,,,,"M20x1,5 X ",40mm,"M16x1,5 X 18mm",,,,,,,img/cdvumacho1.png,"1,5mm",6mm,"6,5mm","24,5mm",,,,Ø25,,HASTE-25,,,,26mm,,M16x1 X 32mm,imgTubo/cdvu.png,CDVUTUBO-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDVU125-M,130mm,,,,,,,M27x2 X ,54mm,"M20x1,5 X 19mm",,,,,,,img/cdvumacho1.png,"2,5mm",9mm,"9,5mm",31mm,,,,Ø32,,HASTE-32,,,,41mm,,"M10x1,5 X 20mm",imgTubo/cdvu.png,CDVUTUBO-125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDVUL12,"33,5mm",,,,,,,"M3x0,5 X ",8mm F,"M5x0,8 X 11,5mm",,,,,,,img/cdvul.png,"0,5mm",3mm,,,,,,Ø6,,HASTE-06,,,,13mm,,M7x1 X 14mm,imgTubo/cdvu.png,CDVUTUBO-12/16,Ø5,HASTE-05,22mm,"M4x0,7 X 10mm",imgGuia/cdvul.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDVUL16,"33,5mm",,,,,,,"M4x0,7 X ",10mm F,"M5x0,8 X 11,5mm",,,,,,,img/cdvul.png,"0,5mm","3,5mm",,,,,,Ø8,,HASTE-08,,,,"12,5mm",,M7x1 X 14mm,imgTubo/cdvu.png,CDVUTUBO-12/16,Ø5,HASTE-05,23mm,"M4x0,7 X 12mm",imgGuia/cdvul.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDVUL20,31mm,,,,,,,"M5x0,8 X ",12mm F,"M6x1,00 X 12,5mm",,,,,,,img/cdvul.png,"0,5mm","3,5mm",,,,,,Ø10,,HASTE-10,,,,"12,5mm",,M8x1 X 16mm,imgTubo/cdvu.png,CDVUTUBO-20,Ø6,HASTE-06,24mm,"M4x0,7 X 12mm",imgGuia/cdvul.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDVUL25,37mm,,,,,,,"M5x0,8 X ",12mm F,"M6x1,00 X 13,5mm",,,,,,,img/cdvul.png,"0,5mm","4,5mm",,,,,,Ø10,,HASTE-10,,,,"14,5mm",,M8x1 X 16mm,imgTubo/cdvu.png,CDVUTUBO-25,Ø5,HASTE-05,26mm,"M4x0,7 X 12mm",imgGuia/cdvul.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDVUL32,"39,5mm",,,,,,,M6x1 X ,14mm F,"M8x1,25 X 14,5mm",,,,,,,img/cdvul.png,1mm,5mm,,,,,,Ø12,,HASTE-12,,,,15mm,,M10x1 X 20mm,imgTubo/cdvu.png,CDVUTUBO-32,Ø6,HASTE-06,29mm,"M4x0,7 X 12mm",imgGuia/cdvul.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDVUL40,42mm,,,,,,,M6x1 X ,12mm F,"M8x1,25 X 15,5mm",,,,,,,img/cdvul.png,1mm,5mm,,,,,,Ø12,,HASTE-12,,,,15mm,,M10x1 X 20mm,imgTubo/cdvu.png,CDVUTUBO-40,Ø6,HASTE-06,30mm,"M4x0,7 X 12mm",imgGuia/cdvul.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDVUL50,40mm,,,,,,,"M8x1,25 X ",16mm F,"M10x1,25 X 17mm",,,,,,,img/cdvul.png,"1,5mm",6mm,,,,,,Ø16,,HASTE-16,,,,"16,5mm",,M12x1 X 24mm,imgTubo/cdvu.png,CDVUTUBO-50,Ø8,HASTE-08,31mm,M6x1 X 18mm,imgGuia/cdvul.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDVUL63,48mm,,,,,,,"M8x1,25 X ",16mm F,"M10x1,25 X 19mm",,,,,,,img/cdvul.png,"1,5mm",6mm,,,,,,Ø16,,HASTE-16,,,,"20,5mm",,M16x1 X 32mm,imgTubo/cdvu.png,CDVUTUBO-63,Ø10,HASTE-10,31mm,M6x1 X 18mm,imgGuia/cdvul.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDVUL80,53mm,,,,,,,"M10x1,5 X ",20mm F,"M12x1,25 X 21,5mm",,,,,,,img/cdvul.png,"1,5mm",6mm,,,,,,Ø20,,HASTE-20,,,,24mm,,M16x1 X 32mm,imgTubo/cdvu.png,CDVUTUBO-80,Ø10,HASTE-10,37mm,M6x1 X 18mm,imgGuia/cdvul.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDVUL100,56mm,,,,,,,"M12x1,75 X ",24mm F,"M16x1,5 X 19,5mm",,,,,,,img/cdvul.png,"1,5mm",6mm,,,,,,Ø25,,HASTE-25,,,,"26,5mm",,M16x1 X 32mm,imgTubo/cdvu.png,CDVUTUBO-100,Ø10,HASTE-10,44mm,M6x1 X 18mm,imgGuia/cdvul.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPB32,81mm,,120mm,,,8mm,"11,5mm","M10x1,25 X ",22mm,M6x1 X 15mm,,M6x1 X38mm,,,,,img/haste-cpctsai1.png,1mm,7mm,8mm,"11,5mm",,,,Ø12,imgHastePassante/cpmeMachoMacho.png,HASTE-12,,,,38mm,,M6x1 X 22mm,imgTubo/cpb.png,CPBTUBO-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPB40,83mm,,123mm,,,8mm,15mm,"M12x1,25 X ",24mm,"M8x1,25 X 25mm",,"M8x1,25 X 40mm",,,,,img/haste-cpctsai1.png,"1,5mm",7mm,8mm,15mm,,,,Ø16,imgHastePassante/cpmeMachoMacho.png,HASTE-16,,,,38mm,,M6x1 X 22mm,imgTubo/cpb.png,CPBTUBO-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
